kings	Karalis.
šaržs	Satīrisks vai humoristisks (kā) attēlojums (tēlotājas mākslas darbā), kurā ir izceltas, pārspīlētas (tā) raksturīgākās īpašības, pazīmes.
ķicis	Kaķis.
rāmis	Prāmis, pārceltuve.
čoris	Četrinieks (atzīme skolā).
rižje	Zelts.
gleze	Glīzdaina, lipīga viela, masa.
brede	Bedre.
rovis	Velvēts pārsegums dzirksteļu uztveršanai virs atklāta pavarda.
biros	Birojs.
riepe	Rinda.
ķerra	Pīļu apakšdzimtas suga ("Aythya marila"), vidēji liela nirpīle ar gaišpelēku muguru, baltu plankumu uz spārniem un pagarinātām pakauša spalvām, Latvijā caurceļotāja un reta ligzdotāja.
bidka	Prostitūta.
ornis	Putns; pieņemtā nozīmē arī kāda apgabala putnu fauna.
ģinda	Izkaltis, kaulains cilvēks.
ķides	Ķidas.
sirgs	Slims.
loska	Cilvēks, kas gausi iet jeb loskā.
ķūtes	Šķūtis.
treme	Organisma pretestība pret transplantātu.
vista	Vistveidīgo kārtas fazānputnu dzimtas ģints ("Gallus"), 4 sugas.
kačka	Pīle.
imāms	Imams.
anābs	Tūļa, lempis.
ņorga	Mudžeklis, sajukums, jukas, nekārtības.
korpe	Kurpe.
mīmas	Grieķiem un romiešiem tautas komēdijas, lielāko tiesu ar pajēlu saturu.
utene	Purva jāņeglīte ("Pedicularis palustris").
lipts	Laipa.
īgans	Ķīpa.
ģēles	Grēmas.
čačus	Čačis 1(2).
ļurba	Žūpa; lempis; plencis; neuzticama persona.
vedga	Kalts (lauznis, cirtnis, parasti no dzelzs, ar garu rokturi), ko izmanto, piemēram, āliņģu ciršanai.
ņiprs	Fiziski labi attīstīts, vesels; kustīgs, darbīgs; arī mundrs, možs.
viņča	Vinča.
lupis	Laupītājs.
legva	Attāluma (ceļa) mērvienība Latīņamerikas zemēs; lielums svārstās starp 4 un 6,6 km; Kubā - 4,24 km.
ēnava	Ēna.
dīdis	Dīdītājs.
gūgle	Interneta informācijas meklēšanas programma "Google".
pauna	Galva, pauris, piereskauls.
talka	Kopēja darba veikšana brīvprātīgi, bez atlīdzības (parasti pēc aicinājuma), lai sniegtu palīdzību (kādam cilvēkam, saimniecībai u. tml.).
slēga	Slogs, nasta, nelaime, posts.
čulis	Četrinieks (atzīme skolā).
čarba	Tas, kas ir irdens, čaugans, pussatrunējis.
šķila	Samērā liels (no kā) nošķelts gabals.
šļora	Nevīžīgs, neapkopies cilvēks.
džezs	Vieglā mūzika (īpašam orķestrim), kam raksturīga improvizācija, specifiski sinkopēti ritmi.
leone	Naudas vienība Sjerraleones Republikā, sīknauda - cents.
šļūta	Bulta, aizšaujamais.
skosa	Kosa ("Equisetum") - daudzgadīgs lakstaugs ar ložņājošiem sakneņiem, stāvu, zarainu vai bezzaru stublāju ar dobiem posmiem.
asnis	Smaile.
alepa	Sinkrētiska reliģiska kustība Japānā (angļu "Aleph"), apvieno gk. budisma un kristietības elementus, dibināta 1987. g.
žvaka	Mute; žokļi.
lupte	Gaiss.
kvass	Saldskābs bezalkoholisks dzēriens, ko gatavo parasti no rupjmaizes vai rudzu miltiem un iesala.
punis	Vēders; liels vēders.
pūrna	Purva purene ("Caltha palustris").
saums	Gavēnis, kas jāievēro islāmticīgajiem ramadānā; viens no pieciem islāma pīlāriem.
trans	Bišu saimē - tēviņš, kura funkcija ir apaugļot bišu māti.
torte	Samērā liels konditorejas izstrādājums, kas ir gatavots no izceptas mīklas kārtām ar pildījumu (piemēram, krēmu, augļu biezeņiem) un kam virsma parasti ir rotāta.
puzle	Spēle, kurā jāsaliek dažādas formas krāsaini kartona gabaliņi, lai iegūtu noteiktu attēlu.
tēkše	Zirņu pākstei iekšpusē cietā kā ragādiņa plēve; arī pie lopiem plēve ap iekšu taukiem.
krīps	Grunts lēna slīdēšana pa nogāzi.
cista	Aizsargčaula, kas palielina zemāko organismu izturību nelabvēlīgos apstākļos.
tikus	Tiku tikām.
puums	Sastrutojums.
štogs	Ūdenszābaks.
kļēba	Slapjš sniegs.
fards	Divrindu pantforma Austrumu tautu dzejā, kas ietver sevī īsu, aforistisku domugraudu.
džāre	Meitene.
kruja	Uzmācīgs cilvēks.
solus	Vienīgi, tikai.
kuzņa	Kalve.
cjace	Rotaļlieta.
šaute	Meža zirdzene ("Angelica sylvestris").
pupis	Pūpe - kuģa galvenā klāja pakaļējā daļa.
būķis	Putnu būris; strazdu būrītis.
rusts	Krāsošanai nomizotās alkšņu mizas.
zutis	Zivju klases zušveidīgo kārtas dzimta ("Anguillidae"), 1 ģ., ~20 sugas un pasugas, Latvijā konstatēta 1 suga.
kaste	Stūrainas formas priekšmets kā ievietošanai (ar sānu malām, dibenu, parasti arī vāku).
zieča	Vārda "ziedaļa" saīsināta forma.
otars	Otrs.
kņābe	Knābis.
seīds	Tuvo un Vidējo Austrumu zemēs - to muhamedāņu tituls, kuri uzskata sevi par Muhameda pēctečiem.
babis	Skrandains ubags, arī biedēklis, ar ko baida mazus nepaklausīgus bērnus.
pausa	Novilkums, kopija uz caurspīdīga vai gaismjutīga materiāla (parasti papīra).
drūma	Drūms noskaņojums, šausmas.
bukta	Tauva, trose.
špate	Sprēgas.
biuas	Čīkstēšana, raudas.
stils	Māksliniecisko izteiksmes līdzekļu kopums, daiļrades paņēmienu kopums, tēlu sistēmas īpatnības (piemēram, mākslas darbā, kāda autora daiļradē, tautas, laikmeta mākslā).
pakts	Lieto atdarinot piliena kritiena skaņu.
žagas	Zari ar lapām, pirtsslota.
pēkša	No rudzu stiebriem darināta pūšama ierīce, rotaļlieta.
ūkoņa	Neskaidrs troksnis, apslāpēta skaņa.
klāja	Dzīve, darbība (kādā veidā, saistījumā ar kādiem apstākļiem).
vadus	Kādam nodalīts zemes gabals.
krāgs	Apkakle.
ķebis	Kāds, kas nesekmīgi līmē; slikts galdnieks.
vangs	Īpašs mistiskas iesvētīšanas veids vadžrajānas skolās, kuras laikā iesvētāmais psihisko enerģiju jeb svētību saņem tieši no sava guru vai izraudzītās dievības (idama).
ķebla	Ķepa.
kupsa	Neliels koku puduris, atstatu no meža.
ēmurs	Āmurs.
kents	Puisis; draugs.
lapis	Akmens.
briga	Divmastu burinieks ar taisnajām burām abos mastos.
knita	Dīglis, asns.
gleča	Sakritusies, neizrūgusi maize; mālaina zeme, glūda.
īsums	Vispārināta īpašība --> īss (1), šīs īpašības konkrēta izpausme.
līgns	Līgans.
trēka	Plaisa, sprauga.
točka	Punkts.
kames	Tautas ēdiens - sagrūstu zirņu, pupu (arī kartupeļu) un kaņepju maisījums.
čašņa	Telpa, kur tiek uzglabāta zirgu barība.
rūnas	Sens skandināvu un citu ģermāņu tautu raksts, kurš izveidojās aptuveni 2. gadsimtā un kura zīmes parasti iegrieza vai iekala akmenī, metālā, kokā, kaulā.
kupss	Koku, krūmu puduris.
sūrme	Sūrums (1).
graza	Raudulīgs, kaprīzs un nerātns bērns.
pouka	Pūka.
špana	Pusaudži, jaunieši (parasti ar kriminālām nosliecēm).
grāfs	Karaļa ierēdnis, tiesnesis (agrā feodālisma laikā Rietumeiropā), neliela teritoriāla apgabala (grāfistes) valdnieks.
vēkša	Cilvēks (parasti bērns), kas bieži un skaļi raud; arī vēkšis.
ērsks	Labības augs prosa.
delia	Pamušu dzimtas ģints.
marža	Starpība starp preces biržas cenu un maksimālo aizdevumu (ko ir atļauts pret šo preci izsniegt).
lacis	Maza bērna priekšautiņš.
primš	Pirms.
valka	Caurvējš.
duprs	Možs, rosīgs, kustīgs.
rūžas	Raizes, rūpes.
glaža	Glāzene.
ķošča	Sievasmāte.
cinca	Liela kaulam piegulošie kāju muskuļi (ikri) cilvēkiem un dzīvniekiem.
gilde	Ģilde.
mazgs	Mezgls.
čēsma	Nelādzība, nepatikšanas.
morns	Alga, algas daļa natūrā.
blaks	Lieto, atdarinot kritiena troksni, blaks!
čūška	Čūska.
tūkša	Uztūkums, tūska.
čarda	Krodziņš ungāru stepē.
stuča	Mācību stunda.
ašais	Apķērīgs, veikls, izdarīgs cilvēks; cilvēks, kas viegli pielāgojas apstākļiem.
āmurs	Roku darba rīks (kātam piestiprināts īpašas formas dzelzs, koka u. tml. materiāla gabals) sišanai.
plude	Zvejas tīkla pludiņš (liela izmēra).
narce	Narcise.
svēle	Svelme.
porca	Mēslošana no atejas.
staps	Stats.
kležs	Greizs, līks.
lilje	Lilijas ("Lilium").
konha	Puskupols, kas pārsedz puscilindrisku ēkas daļu (apsīdu, nišu).
epika	Viens no daiļliteratūras pamatveidiem (blakus drāmai un lirikai), kam raksturīgs autora objektīvs vēstījums par notikumiem un personām.
ticis	Tikumīgs.
čanga	Cilvēks, kas maisa ēdienu (ēdot no kopējā katla).
mēmis	Mēms cilvēks.
poila	Dzēriens.
cilts	Sabiedrības organizācijas forma pirmatnējās kopienas iekārtā.
daļģe	Rūpnīcā izgatavota un iesieta izkapts.
serra	Kalnu grēda (portugāļu vietvārdos).
cāčis	Kartupelis (bērnu valodā).
jirbe	Irbe.
bogas	Vecas lietas, krāmi.
lamza	Liels, neveikls, lempīgs, tūļīgs dzīvs radījums.
šeihs	Arābu klejotāju cilts vai cilšu savienības galva.
poķis	Potīte, kauliņš kājai; poķītis; poķīte.
mirla	Aizmārša.
āšiks	Ašugs - Azerbaidžāņu, armēņu u. c. austrumu zemju tautu dziesminieks, muzikants.
šuķis	Baroklis (cūka).
cipus	Seno romiešu robežakmens.
kudls	Čirkains, sprogains.
vurva	Vurpis (2).
šaise	Nepatikšanas, neveiksme; šaize.
žalva	Lamuvārds - mauka.
grūds	Greids.
arājs	Cilvēks, kas ar zemi (ar zirgu).
nāibs	Apgabala vai provinces vietvaldis musulmaņu valstīs viduslaikos.
skopa	Skopa teorija - teorija, kas uzsver tulkošanas pragmatiskos aspektus, uzskatot, ka mērķteksta tipu un formu nosaka funkcija, kuru paredzēts īstenot jaunajā kontekstā.
stepe	Veģetācijas tips, ko veido kserofili daudzgadīgi lakstaugi (piemēram, graudzāles, sīpolaugi) un kas rodas iekškontinentālos apvidos, mērenā un subtropu klimatā; teritorija, kur ir šāds veģetācijas tips.
varte	Vate.
okuņs	Muļķis.
ingas	Tīruma tītenis ("Convolvulus arvensis").
žerns	Možs, izveicīgs puika.
špags	Valgs.
hanka	Injicējama opija narkotika.
koņča	Konfekte.
abāda	Svaigas cūkgaļas (tikko kautas) un kāpostu ēdiens.
spode	Spodrināmā ziede.
špics	Spics.
terža	Eža (tīrumā).
gripa	Akūta infekcijas slimība, kam raksturīga paaugstināta temperatūra, augšējo elpošanas ceļu iekaisums un organisma vispārēja intoksikācija.
plese	Rāma vieta upē; plasa; plesa.
ietne	Ietve.
vaiks	Bērns.
piede	Nēši, īpaši ūdens spaiņu nešanai.
prosa	Sējas sāre ("Panicum miliaceum") - viengadīgs cerains sausumizturīgs graudzāļu dzimtas labības augs.
korba	Mežs.
ķilis	Putna guza.
krūka	Keramikas (parasti māla) krūze vai krūzei līdzīgs trauks dzērienu ieliešanai.
svita	Biezas vadmalas mētelis bez padrēbes (ko parasti uzvelk virsū kažokam vai kādam citam apģērbam).
malta	Viskoza, pusšķidra viela, naftas oksidēšanās un polimerizācijas produkts seklās iegulās; starpstāvoklis starp naftu un asfaltu; izmanto gudrona un tehnisko bitumu ieguvei.
klīma	Lamuvārds (vecam, vājam un slinkam zirgam).
žitņa	Karstgalvīgs, straujš, neapdomīgs cilvēks.
smaga	Stāvoklī, mātes cerībās.
gaite	Gaita (6).
ģemba	Nolaidīgs, nekārtīgs cilvēks.
braka	Trausls, viegli lūstošs; lietošanai nederīgs.
izops	Lūpziežu dzimtas ģints ("Hyssopus"), garšaugs, 13-15 sugas, līdz 60 cm augsts puskrūms, kas aug dienvidu reģionos (Kaukāzā, Krimā, ap Vidusjūru); satur ēteriskas eļļas; garšaugs, Latvijā kā dārzbēglis vecos parkos, dārzos, ceļmalās.
gasts	Viesis.
turba	Kūdra.
tasks	Šahā - kompozīcija, kurā kāda taktiskā ideja izstrādāta maksimāli lielā variantu skaitā.
holls	Halle.
gaiba	Pļāpa, pārlieku liels runātājs; vējgrābslis.
gruma	Naids, dusmas.
zelba	Zalba.
ceiba	Kapokaugu dzimtas ģints.
vikss	Vikse 1.
bonda	Apaļš miežmaizes kukulītis.
šiška	Liels priekšnieks; ietekmīga persona; ievērojams amatvīrs.
časis	Pulkstenis.
vazma	Sliņķis, klaidonis.
vīsle	Smalks lietus.
bubis	Bubulis (biedējamais vārds nepaklausīgiem bērniem).
skops	Tāds, kas pašmērķīgi saglabā un vairo savu mantu, īpašumu; tāds, kas nedod materiālās vērtības kam vajadzīgam, nepieciešamam vai dod tās par maz.
si-es	CS - kairinošas iedarbības balta vai gaiši dzeltena kristāliska ķīmiska kaujasviela ar piparu smaku.
avīze	Periodisks izdevums (vairāku lielu lapu veidā) ar aktuālu saturu; laikraksts.
ūdens	Ūdeņraža oksīds - šķidra viela (minerāls), kam nav garšas, smaržas, krāsas (biezākam slānim zilgana krāsa) un kas, parasti šķīdumu, maisījumu sastāva, ir plaši izplatīta ūdenstilpēs, augsnē, gaisā, organismos.
sekša	Tas, kas ir netīrīgs; netīrelis, smulis; sekšelis.
štirs	Tapa, bulta.
medze	Varš.
tuple	Kurpe.
renča	Lopkopības ferma, arī kovboju mītne un pagalms ASV rietumos.
trose	No stieplēm vīta virve.
abats	Katoļu mūku klostera priekšnieks.
gluda	Galoda (parasti izkapts asināšanai).
velta	Velte.
sākas	Sākums.
mazjs	Kvalificēts krāpnieks.
sīlis	Prāmis, pārceltuve.
sesks	Sermuļu dzimtas suga ("Mustela putorius"), neliels dzīvnieks ar slaidu ķermeni, pagaru asti un dziedzeriem, kas izdala sekrētu, kuram ir asa smaka.
šļīte	Liels daudzums.
diķis	Agrāku laiku monēta, nelielas vērtības naudas gabals, kas bija vienlīdzīgs ar 3 grašiem.
stats	Saslietu (labības, linu) kūļu kopa; statiņš (2).
trace	Tracis.
imūns	Neuzņēmīgs pret infekcijas slimību izraisītājiem un svešām vielām.
riels	Kambodžas naudas vienība, kas vienāda ar 100 seniem.
brats	Brālis.
naids	Dziļas un noturīgas jūtas, kam ir raksturīga nelabvēlīga, nosodoša, arī kaujinieciska attieksme (parasti pret cilvēkiem, parādībām sabiedrībā).
pūles	Fizisko, garīgo spēku intensitāte, koncentrācija (kādā darbībā); fizisko, garīgo spēku patēriņš.
fedja	Pamuļķis.
čādas	Mazlabība.
serns	Sermulis ("Mustela erminea").
pūkas	Spilve ("Eriophorum").
ludus	Hēdoniska mīlestība Senajā Grieķijā, kas neprasīja dziļas jūtas un uzticību, pielīdzināma flirtam.
raisa	Plaukums.
rādža	Radiouztvērējs.
ģemze	Dobradžu dzimtas pārnadzis, kazu apakšdzimtas suga, vienīgā savā ģintī; ziemā tumši brūna, vasarā ruda, piere un pakakle gaišas, ar melnu svītru no auss līdz mutei klinšainos kalnos meža un alpīnajā joslā Eiropā un Mazāzijā.
halze	Kuģa kurss attiecībā pret vēja virzienu.
krāga	Apkakle.
irkas	Izšūtas plecu daļas kreklam.
lords	Augsts feodālis (viduslaikos Anglijā).
peste	Kāds, kurš mēdz gari stāstīt.
akate	Akacis.
stoks	Staks.
nakts	Laikposms no saules rieta līdz lēktam, no vakara līdz rītam.
punes	Bļodas, bļodiņas, kas darinātas no koka saauguma.
žākle	Vāja rakstura sieviete.
ģiģis	Noslēgts cilvēks.
rikša	Vīrietis, kas, velkot divričus, pārvadā tajos pasažierus, kravu (Japānā, arī dažās citās Āzijas zemēs).
pūdis	Pūlis.
burza	Burzma, drūzma.
sloga	Slogs - smags priekšmets, ar ko nospiež, sapresē.
knašs	Ātrs, straujš; arī veikls.
vīķis	Tauriņziežu dzimtas ģints ("Vicia"), viengadīgs, divgadīgs vai daudzgadīgs augs ar pamīšus sakārtotām lapām un gaiši violetiem ziediem.
prāms	Prāmis.
sānes	Sāņu grāvji upēm, pa kurām līdakas nārstojot dodas uz augšu.
čamsa	"Fatimas roka" - talismans, kas simbolizē piecus ticības pīlārus, piecas lūgšanas dienā, piecas svētās naktis.
lakna	Pārmērīgs dzērājs, tāds, kam nekad nav gana (labuma); lakata.
širas	No siksnām darināts zirga aizjūga piederums (bezloka aizjūgos), ko lieto saku vietā.
čalka	Samazgas.
pulka	Daudz 2(1).
spīds	Atsevišķi akcentēts gaišas krāsas plankums; izplatīts paņēmiens Bizantijas glezniecībā glezniecisko formu modelējumam.
mekrs	Niķu pilns.
saule	Mūsu planētu sistēmas centrāla debess ķermeņa starojuma radītā gaisma, siltums, ultravioletie stari.
dvoka	Divnieks (atzīme skolā).
rūsis	Gruži, saslaukas, netīrumi, atkritumi, kas sabērti kaudzē.
sekše	Tas, kas ir netīrīgs; netīrelis, smulis; sekšelis.
zvēre	Tīruma sinepe ("Sinapis arvensis"); viengadīgs krustziežu dzimtas augs, nezāle ar dzelteniem ziediem un augli pākstī, kas atveras gareniski.
meška	Lācis.
zlits	Slita zirga piesiešanai.
flote	Kuģu kopums, kam ir vienāds uzdevums.
svals	Tvaiks, dūmi.
spīga	Zoss spalvas cietā daļa.
tomza	Liels, lempīgs, neveikls cilvēks.
plasa	Rāma vieta upē.
doska	Tāfele.
žirbs	Žirgts.
pāris	Kopums, ko veido divi līdzīgi, savstarpēji saistīti (piemēram, pēc funkcijas, izskata) priekšmeti, parādības u. tml.
svors	Svars.
itāds	Šāds.
dilba	Neveikls cilvēks.
alīgs	Kļūdains, maldīgs, aplams, nepareizs.
kīvis	Ķīvenis - koka trauks; baļļa alus raudzēšanai, kubuls.
slēns	Zems, slapūksnējs, avoksnējs.
kāple	Krauja vai stāva nogāze, kas norobežo dažādā augstumā atrodošās virsas.
štērs	Velki; šķērs.
tuāzs	Garuma mērs Francijā - 1,94904 cm.
acīgs	Tāds, kas ātri pamana ko; tāds, kas viegli uztver un izprot; vērīgs.
rizga	Nerimša, nemierīgs radījums, dauzoņa.
smuks	Glīts; skaists.
lēkma	Lēkts.
fomas	Nepilnīgi pazīstamo sēņu nodalījuma sferopsīdu dzimtas ģints ("Phoma"), gk. saprofīti uz nokaltušām augu daļām, ~200 s., Latvijā konstatētas ~40 s.
pogas	Eiropas saulpurene ("Trollius europaeus").
jupis	Nelabais, velns; jods.
drāna	Austs materiāls; audums.
priča	Frizūra.
paiss	Sīka monēta (simtdaļa rūpijas) Indijā un Pakistānā.
stēga	Šķēps.
silva	Spāņu liriskās dzejas četrrindu strofiskā forma, kurā parasti secīgi mijas vienpadsmitzilbju un septiņzilbju rindas, retākos gadījumos astoņzilbju un četrzilbju rindas.
dūkas	Sens ide tautu pūšams instruments, ko vēl tagad lieto skotu un Balkānu tautu kara orķestrī, īru zemnieki, bet Latvijā suiti; somu (soma) dūdas.
ceris	Sprēslīca; cere.
pļuna	Pļeka.
šunts	Elektrības vadītājs vai magnētvads, ko pieslēdz paralēli elektriskās vai magnētiskās ķēdes posmam, lai daļa strāvas vai magnētiskās plūsmas apietu ķēdes posmu pa izveidoto paralēlo atzarojumu.
liepa	Divdīgļlapju klases malvu rindas dzimta ("Tiliaceae"), vasarzaļi, koki, krūmi, puskrūmi un pat lakstaugi ar nektārainiem ziediem, kas sakārtoti ziedkopās ar garām augšlapām, 46 ģ., 450 s., Latvijā konstatēta 1 ģ.
ranta	Svītra, piegriezums, robs.
akacs	Akacis.
šrāga	Ģilžu un cunfšu statūti (Vācijā, Baltijā līdz 20. gadsimta sākumam); amata rullis.
ūdins	Ūdens.
skets	Improvizēta dziedāšana džezā bez vārdiem, dziedātājam ar bezjēdzīgu zilbju kopumu atdarinot instrumentālo džezu.
araks	Alkoholisks dzēriens, ko gatavo no kokospalmu vai dateļpalmu sulas vai rīsa.
plēva	Pelnu kārtiņa.
pēšņs	Pēkšņs.
pauze	Neilgs pārtraukums, klusuma brīdis (skaņā, skaņu virknē).
banis	Divnieks (atzīme skolā).
grota	Dabiska vai mākslīgi izveidota ala, arī atsevišķa alas daļa, nozarojums.
egīda	Sengrieķu mitoloģijā - Zeva vai Atēnas vairogs, dievu labvēlības un dusmu simbols.
draps	Biezs, mīksts, parasti uzkārsts, vilnas vai pusvilnas audums (parasti virsdrēbēm).
dēles	Posmtārpu klase; saplacināts ķermenis, abos galos piesūcekņi; hermafrodīti, parasti dzīvo saldūdeņos; ap 500 s., Latvijā 4 dz., 15 s.
elsis	Mazlēpju dzimtas ģints ("Stratiotes"), daudzgadīgs ūdensaugs ar dzeloņainām lapām un baltiem ziediem.
vraks	Sapostīts, līdz pilnīgai nederīguma pakāpei nolietots kuģis, arī lidaparāts, arī (tā) atliekas, kas pamatos saglabājušas savu ārējo formu.
khaya	Mahagonu dzimtas ģints.
knīze	Grāmata.
avals	Vekseļtiesisks galvojums, ar kuru trešā persona - galvotājs - uzņemas atbildību par parādnieka vekseļa samaksu.
šeims	Valgs, tauva.
korpa	No kārklu klūdziņām pīts grozs.
dorba	Durba, karpu dzimtas zivs.
šauja	Sauja.
umaka	Spēks, vara; steigšanās.
ēnots	Ēnains.
specs	Speciālists.
polka	Sargkareivis, sargs.
lokne	Kas lokans, izliekts; koka galotne.
plāšs	Plānā kārtā izklāts; plašs.
sills	Intruzīvo iežu plātņveida iegulas starp horizontāli guļošajiem slāņiem; parasti izveidojas lielākā skaitā un izvietojas cits zem cita.
sarža	Nātna auduma sējuma veids - četrnīšu trinītis; šādi austs audums; sarzis (2).
spīne	Cemme, dzintele.
kitrs	Viltīgs.
gūģis	Glūņa, mēglis.
sārķe	Sarkanbrūna, sarkanīga govs.
puzga	Zivju biedēklis.
kupis	Kaudze, čupa; kupa.
trūda	Trūdu zeme.
grēls	Nemierīgs.
sulla	Putnu klases pelikānveidīgo kārtas dzimta ("Sulidae"), vidēji lieli un lieli (ķermeņa masa - 1,5-5 kg) jūras putni ar gk. baltu un melbrūnu apspalvojumu, garu spēcīgu knābi un gariem, slaidiem spārniem, 7 s., Latvijā konstatēta 1 suga kā ļoti rets ieceļotājs.
