dowve	A dove.
check	A word of warning denoting that the king is in danger; such a menace of a player's king by an adversary's move as would, if it were any other piece, expose it to immediate capture. A king so menaced is said to be in check, and must be made safe at the next move.
cling	Adherence; attachment; devotion.
axman	One who wields an ax.
belie	To show to be false; to convict of, or charge with, falsehood.
skive	The iron lap used by diamond polishers in finishing the facets of the gem.
slash	A long cut; a cut made at random.
spice	Species; kind.
fides	Faith personified as a goddess; the goddess of faith.
rumbo	Grog.
ovoid	A solid resembling an egg in shape.
matte	A partly reduced copper sulphide, obtained by alternately roasting and melting copper ore in separating the metal from associated iron ores, and called coarse metal, fine metal, etc., according to the grade of fineness.  On the exterior it is dark brown or black, but on a fresh surface is yellow or bronzy in color.
ocrea	See Ochrea.
manor	The land belonging to a lord or nobleman, or so much land as a lord or great personage kept in his own hands, for the use and subsistence of his family.
pacha	A civil or military authority in Turkey or Egypt; same as Pasha.
segge	The hedge sparrow.
women	pl. of Woman.
brond	A sword.
creak	The sound produced by anything that creaks; a creaking.
uncle	The brother of one's father or mother; also applied to an aunt's husband; -- the correlative of aunt in sex, and of nephew and niece in relationship.
basic	an artificial computer language with a relatively simplified instruction set.
thurl	A hole; an aperture.
dread	Great fear in view of impending evil; fearful apprehension of danger; anticipatory terror.
stare	The act of staring; a fixed look with eyes wide open.
stull	A framework of timber covered with boards to support rubbish; also, a framework of boards to protect miners from falling stones.
twine	To twist together; to form by twisting or winding of threads; to wreathe; as, fine twined linen.
blanc	A white cosmetic.
fleck	To spot; to streak or stripe; to variegate; to dapple.
fling	A cast from the hand; a throw; also, a flounce; a kick; as, the fling of a horse.
rebec	An instrument formerly used which somewhat resembled the violin, having three strings, and being played with a bow.
slink	The young of a beast brought forth prematurely, esp. a calf brought forth before its time.
stump	The part of a tree or plant remaining in the earth after the stem or trunk is cut off; the stub.
zebra	Any member of three species of African wild horses remarkable for having the body white or yellowish white, and conspicuously marked with dark brown or brackish bands.
blimp	any elderly pompous reactionary.
color	A property depending on the relations of light to the eye, by which individual and specific differences in the hues and tints of objects are apprehended in vision; as, gay colors; sad colors, etc.
crown	To cover, decorate, or invest with a crown; hence, to invest with royal dignity and power.
death	The cessation of all vital phenomena without capability of resuscitation, either in animals or plants.
flout	A mock; an insult.
rabot	A rubber of hard wood used in smoothing marble to be polished.
ranee	Same as Rani.
thegn	Thane. See Thane.
bilge	The protuberant part of a cask, which is usually in the middle.
besom	A brush of twigs for sweeping; a broom; anything which sweeps away or destroys.
waker	One who wakes.
varus	A deformity in which the foot is turned inward. See Talipes.
wheat	A cereal grass (Triticum vulgare) and its grain, which furnishes a white flour for bread, and, next to rice, is the grain most largely used by the human race.
scene	The structure on which a spectacle or play is exhibited; the part of a theater in which the acting is done, with its adjuncts and decorations; the stage.
shire	A portion of Great Britain originally under the supervision of an earl; a territorial division, usually identical with a county, but sometimes limited to a smaller district; as, Wiltshire, Yorkshire, Richmondshire, Hallamshire.
cital	Summons to appear, as before a judge.
hobit	A small mortar on a gun carriage, in use before the howitzer.
speck	A small discolored place in or on anything, or a small place of a color different from that of the main substance; a spot; a stain; a blemish; as, a speck on paper or loth; specks of decay in fruit.
whale	Any aquatic mammal of the order Cetacea, especially any one of the large species, some of which become nearly one hundred feet long. Whales are hunted chiefly for their oil and baleen, or whalebone.
anomy	Disregard or violation of law.
pykar	An ancient English fishing boat.
hovel	An open shed for sheltering cattle, or protecting produce, etc., from the weather.
rhein	Chrysophanic acid.
sepoy	A native of India employed as a soldier in the service of a European power, esp. of Great Britain; an Oriental soldier disciplined in the European manner.
vizor	See Visor.
butty	One who mines by contract, at so much per ton of coal or ore.
detur	A present of books given to a meritorious undergraduate student as a prize.
saury	A slender marine fish (Scomberesox saurus) of Europe and America. It has long, thin, beaklike jaws. Called also billfish, gowdnook, gawnook, skipper, skipjack, skopster, lizard fish, and Egypt herring.
uvate	A conserve made of grapes.
flurt	A flirt.
grasp	A gripe or seizure of the hand; a seizure by embrace, or infolding in the arms.
hadji	A Muslim who has made a pilgrimage to Mecca; -- used among Orientals as a respectful salutation or a title of honor.
hunte	A hunter.
pussy	A pet name for a cat; also, an endearing name for a girl.
shine	The quality or state of shining; brightness; luster, gloss; polish; sheen.
smoke	To emit smoke; to throw off volatile matter in the form of vapor or exhalation; to reek.
spaid	See 1st Spade.
armor	Defensive arms for the body; any clothing or covering worn to protect one's person in battle.
gypsy	One of a vagabond race, whose tribes, coming originally from India, entered Europe in the 14th or 15th century, and are now scattered over Turkey, Russia, Hungary, Spain, England, etc., living by theft, fortune telling, horsejockeying, tinkering, etc.  Cf. Bohemian, Romany.
spelk	A small stick or rod used as a spike in thatching; a splinter.
jiffy	A moment; an instant; as, I will be ready in a jiffy.
lepra	Leprosy.
spark	A brisk, showy, gay man.
crois	See Cross, n.
frier	One who fries.
softa	Any one attached to a Mohammedan mosque, esp. a student of the higher branches of theology in a mosque school.
nondo	A coarse umbelliferous plant (Ligusticum actaeifolium) with a large aromatic root.  It is found chiefly in the Alleghany region.  Also called Angelico.
owlet	A small owl; especially, the European species (Athene noctua), and the California flammulated owlet (Megascops flammeolus).
codex	A book, especially an early form of book with pages stitched together, contrasting with the earlier scrolls; a manuscript; as, a DaVinci codex.
nasal	An elementary sound which is uttered through the nose, or through both the nose and the mouth simultaneously.
disme	A tenth; a tenth part; a tithe.
greet	Greeting.
rhumb	A line which crosses successive meridians at a constant angle; -- called also rhumb line, and loxodromic curve. See Loxodromic.
civet	A substance, of the consistence of butter or honey, taken from glands in the anal pouch of the civet (Viverra civetta). It is of clear yellowish or brownish color, of a strong, musky odor, offensive when undiluted, but agreeable when a small portion is mixed with another substance. It is used as a perfume.
chose	A thing; personal property.
flash	A pool.
bimli	a valuable fiber plant (Hibiscus cannabinus) of the East Indies now widespread in cultivation.
carac	See Carack.
